Key,en,es,ar,fr,hi
Screen deleted successfully!,Screen deleted successfully!,¡Pantalla eliminada exitosamente!,تم حذف الشاشة بنجاح!,Écran supprimé avec succès !,स्क्रीन सफलतापूर्वक हटा दी गई!
Splash screen updated successfully!,Splash screen updated successfully!,¡La pantalla de bienvenida se actualizó correctamente!,تم تحديث شاشة البداية بنجاح!,Écran de démarrage mis à jour avec succès !,स्पलैश स्क्रीन सफलतापूर्वक अपडेट की गई!
URL settings updated successfully!,URL settings updated successfully!,¡La configuración de URL se actualizó correctamente!,تم تحديث إعدادات URL بنجاح!,Paramètres d'URL mis à jour avec succès !,यूआरएल सेटिंग्स सफलतापूर्वक अपडेट की गईं!
Email successfully sended,Email successfully sended,Correo electrónico enviado correctamente,تم إرسال البريد الإلكتروني بنجاح,E-mail envoyé avec succès,ईमेल सफलतापूर्वक भेजा गया
Contact Message delete successfully!,Contact Message delete successfully!,Contacto ¡Eliminación del mensaje exitosamente!,تم حذف رسالة الاتصال بنجاح!,Message de contact supprimé avec succès !,संपर्क संदेश सफलतापूर्वक हटा दिया गया!
Cookie information updated successfully!,Cookie information updated successfully!,¡La información de las cookies se actualizó correctamente!,تم تحديث معلومات ملفات تعريف الارتباط بنجاح!,Les informations sur les cookies ont été mises à jour avec succès !,कुकी जानकारी सफलतापूर्वक अपडेट की गई!
Withdraw Money Request Approved Successfully,Withdraw Money Request Approved Successfully,Solicitud de retiro de dinero aprobada exitosamente,تمت الموافقة على طلب سحب الأموال بنجاح,Demande de retrait d'argent approuvée avec succès,पैसे निकालने का अनुरोध सफलतापूर्वक स्वीकृत
Withdraw Money Request Rejected Successfully,Withdraw Money Request Rejected Successfully,Solicitud de retiro de dinero rechazada exitosamente,تم رفض طلب سحب الأموال بنجاح,Demande de retrait d'argent rejetée avec succès,पैसे निकालने का अनुरोध सफलतापूर्वक अस्वीकार कर दिया गया
Payment gateway currency not found!,Payment gateway currency not found!,¡No se encontró la moneda de la pasarela de pago!,لم يتم العثور على عملة بوابة الدفع!,Devise de la passerelle de paiement introuvable !,भुगतान गेटवे मुद्रा नहीं मिली!
Payment gateway currency deleted successfully!,Payment gateway currency deleted successfully!,¡La moneda de la pasarela de pago se eliminó correctamente!,تم حذف عملة بوابة الدفع بنجاح!,La devise de la passerelle de paiement a été supprimée avec succès !,भुगतान गेटवे मुद्रा सफलतापूर्वक हटा दी गई!
gateway_name,gateway_name,nombre_puerta de enlace,gate_name,nom_passerelle,गेटवे_नाम
The gateway name has already been taken.,The gateway name has already been taken.,El nombre de la puerta de enlace ya ha sido tomado.,لقد تم بالفعل أخذ اسم البوابة.,Le nom de la passerelle a déjà été pris.,गेटवे का नाम पहले ही लिया जा चुका है.
Payment gateway added successfully!,Payment gateway added successfully!,¡Pasarela de pago agregada exitosamente!,تمت إضافة بوابة الدفع بنجاح!,Passerelle de paiement ajoutée avec succès !,भुगतान गेटवे सफलतापूर्वक जोड़ा गया!
Payment gateway not found!.,Payment gateway not found!.,¡Pasarela de pago no encontrada!.,بوابة الدفع غير موجودة!.,Passerelle de paiement introuvable !.,भुगतान गेटवे नहीं मिला!
Payment gateway Status Updated Successfully,Payment gateway Status Updated Successfully,Estado de la pasarela de pago actualizado correctamente,تم تحديث حالة بوابة الدفع بنجاح,Statut de la passerelle de paiement mis à jour avec succès,भुगतान गेटवे स्थिति सफलतापूर्वक अपडेट की गई
Information updated successfully!,Information updated successfully!,¡Información actualizada exitosamente!,تم تحديث المعلومات بنجاح!,Informations mises à jour avec succès !,जानकारी सफलतापूर्वक अपडेट की गई!
Image upload failed! Please try again.,Image upload failed! Please try again.,¡La carga de la imagen falló! Por favor inténtalo de nuevo.,فشل تحميل الصورة! يرجى المحاولة مرة أخرى.,Le téléchargement de l'image a échoué ! Veuillez réessayer.,छवि अपलोड विफल! कृपया पुन: प्रयास करें।
Opps! Payment gateway not found!,Opps! Payment gateway not found!,¡Ups! ¡Pasarela de pago no encontrada!,انتبه! بوابة الدفع غير موجودة!,Oups ! Passerelle de paiement introuvable !,उफ़! भुगतान गेटवे नहीं मिला!
Payment gateway deleted successfully!,Payment gateway deleted successfully!,¡Pasarela de pago eliminada con éxito!,تم حذف بوابة الدفع بنجاح!,Passerelle de paiement supprimée avec succès !,भुगतान गेटवे सफलतापूर्वक हटा दिया गया!
Page not found!,Page not found!,¡Página no encontrada!,لم يتم العثور على الصفحة!,Page introuvable !,पृष्ठ नहीं मिला!
Setup Page Status Updated Successfully,Setup Page Status Updated Successfully,Estado de la página de configuración actualizado correctamente,تم تحديث حالة صفحة الإعداد بنجاح,Statut de la page de configuration mis à jour avec succès,सेटअप पृष्ठ स्थिति सफलतापूर्वक अपडेट की गई
Service item delete successfully!,Service item delete successfully!,¡El elemento de servicio se eliminó correctamente!,تم حذف عنصر الخدمة بنجاح!,L'article de service a été supprimé avec succès !,सेवा आइटम सफलतापूर्वक हटा दिया गया!
Category Saved Successfully!,Category Saved Successfully!,¡Categoría guardada exitosamente!,تم حفظ الفئة بنجاح!,Catégorie enregistrée avec succès !,श्रेणी सफलतापूर्वक सहेजी गई!
Category Updated Successfully!,Category Updated Successfully!,¡Categoría actualizada con éxito!,تم تحديث الفئة بنجاح!,Catégorie mise à jour avec succès !,श्रेणी सफलतापूर्वक अपडेट की गई!
Category record not found in our system.,Category record not found in our system.,Registro de categoría no encontrado en nuestro sistema.,سجل الفئة غير موجود في نظامنا.,Enregistrement de catégorie introuvable dans notre système.,हमारे सिस्टम में श्रेणी रिकॉर्ड नहीं मिला.
Category Status Updated Successfully,Category Status Updated Successfully,Estado de la categoría actualizado correctamente,تم تحديث حالة الفئة بنجاح,Statut de la catégorie mis à jour avec succès,श्रेणी स्थिति सफलतापूर्वक अपडेट की गई
Category deleted successfully!,Category deleted successfully!,¡Categoría eliminada exitosamente!,تم حذف الفئة بنجاح!,Catégorie supprimée avec succès !,श्रेणी सफलतापूर्वक हटा दी गई!
Blog item added successfully!,Blog item added successfully!,¡El artículo del blog se agregó correctamente!,تمت إضافة عنصر المدونة بنجاح!,Article de blog ajouté avec succès !,ब्लॉग आइटम सफलतापूर्वक जोड़ा गया!
Blog item updated successfully!,Blog item updated successfully!,¡El artículo del blog se actualizó correctamente!,تم تحديث عنصر المدونة بنجاح!,Article de blog mis à jour avec succès !,ब्लॉग आइटम सफलतापूर्वक अपडेट किया गया!
BLog delete successfully!,BLog delete successfully!,¡BLog se eliminó correctamente!,تم حذف المدونة بنجاح!,BLog supprimé avec succès !,ब्लॉग सफलतापूर्वक हटा दिया गया!
Blog record not found in our system.,Blog record not found in our system.,Registro de blog no encontrado en nuestro sistema.,لم يتم العثور على سجل المدونة في نظامنا.,Enregistrement de blog introuvable dans notre système.,हमारे सिस्टम में ब्लॉग रिकॉर्ड नहीं मिला.
Blog Status Updated Successfully,Blog Status Updated Successfully,Estado del blog actualizado correctamente,تم تحديث حالة المدونة بنجاح,Statut du blog mis à jour avec succès,ब्लॉग स्थिति सफलतापूर्वक अपडेट की गई
SMS Sending Failed! Please try again.,SMS Sending Failed! Please try again.,¡Falló el envío de SMS! Por favor inténtalo de nuevo.,فشل إرسال الرسائل القصيرة! يرجى المحاولة مرة أخرى.,Échec de l'envoi du SMS ! Veuillez réessayer.,एसएमएस भेजना विफल! कृपया पुन: प्रयास करें।
Failed to change status to active!,Failed to change status to active!,¡No se pudo cambiar el estado a activo!,فشل تغيير الحالة إلى نشطة!,Échec du changement d'état en actif !,स्थिति को सक्रिय में बदलने में विफल!
Mark as solved success,Mark as solved success,Marcar como éxito solucionado,وضع علامة كنجاح تم حله,Marquer comme succès résolu,हल की गई सफलता के रूप में चिह्नित करें
Charge Updated Successfully!,Charge Updated Successfully!,¡Carga actualizada exitosamente!,تم تحديث الشحن بنجاح!,Charge mise à jour avec succès !,चार्ज सफलतापूर्वक अपडेट किया गया!
Page added successfully!,Page added successfully!,¡Página agregada exitosamente!,تمت إضافة الصفحة بنجاح!,Page ajoutée avec succès !,पेज सफलतापूर्वक जोड़ा गया!
admin.useful.links.index,admin.useful.links.index,admin.enlaces.útiles.index,admin.useful.links.index,admin.useful.links.index,admin.useful.links.index
Page updated successfully!,Page updated successfully!,¡Página actualizada exitosamente!,تم تحديث الصفحة بنجاح!,Page mise à jour avec succès !,पेज सफलतापूर्वक अपडेट किया गया!
Page record not found in our system.,Page record not found in our system.,Registro de página no encontrado en nuestro sistema.,سجل الصفحة غير موجود في نظامنا.,Enregistrement de page introuvable dans notre système.,हमारे सिस्टम में पेज रिकॉर्ड नहीं मिला.
Page Status Updated Successfully,Page Status Updated Successfully,Estado de la página actualizado correctamente,تم تحديث حالة الصفحة بنجاح,Statut de la page mis à jour avec succès,पृष्ठ स्थिति सफलतापूर्वक अपडेट की गई
Page deleted successfully!,Page deleted successfully!,¡Página eliminada exitosamente!,تم حذف الصفحة بنجاح!,Page supprimée avec succès !,पेज सफलतापूर्वक हटा दिया गया!
Opps! User not exists,Opps! User not exists,¡Ups! El usuario no existe,انتبه! المستخدم غير موجود,Oups ! L'utilisateur n'existe pas,उफ़! उपयोगकर्ता मौजूद नहीं है
Mail successfully sended,Mail successfully sended,Correo enviado exitosamente,تم إرسال البريد بنجاح,Mail envoyé avec succès,मेल सफलतापूर्वक भेजा गया
Profile Information Updated Successfully!,Profile Information Updated Successfully!,¡Información de perfil actualizada con éxito!,تم تحديث معلومات الملف الشخصي بنجاح!,Informations sur le profil mises à jour avec succès !,प्रोफ़ाइल जानकारी सफलतापूर्वक अपडेट की गई!
User KYC successfully approved,User KYC successfully approved,Usuario KYC aprobado exitosamente,تمت الموافقة على KYC للمستخدم بنجاح,L'utilisateur KYC a été approuvé avec succès,उपयोगकर्ता केवाईसी सफलतापूर्वक स्वीकृत
User KYC information not found,User KYC information not found,Información KYC del usuario no encontrada,لم يتم العثور على معلومات KYC الخاصة بالمستخدم,Informations KYC de l'utilisateur introuvables,उपयोगकर्ता केवाईसी जानकारी नहीं मिली
User KYC information is rejected,User KYC information is rejected,La información KYC del usuario es rechazada,تم رفض معلومات KYC الخاصة بالمستخدم,Les informations KYC de l'utilisateur sont rejetées,उपयोगकर्ता केवाईसी जानकारी अस्वीकार कर दी गई है
User do not have sufficient balance,User do not have sufficient balance,El usuario no tiene saldo suficiente,المستخدم ليس لديه رصيد كافي,L'utilisateur n'a pas de solde suffisant,उपयोगकर्ता के पास पर्याप्त बैलेंस नहीं है
Transaction success,Transaction success,Éxito de la transacción,نجاح الصفقة,Succès des transactions,लेन-देन सफल
Ops! Failed To Upload Image.,Ops! Failed To Upload Image.,¡Ops! No se pudo cargar la imagen.,العمليات! فشل تحميل الصورة.,Opérations ! Échec du téléchargement de l'image.,ऑप्स! छवि अपलोड करने में विफल.
Card API Has Been Updated.,Card API Has Been Updated.,La API de la tarjeta se ha actualizado.,تم تحديث واجهة برمجة تطبيقات البطاقة.,L'API de la carte a été mise à jour.,कार्ड एपीआई अपडेट कर दिया गया है.
Basic settings not found!,Basic settings not found!,¡No se encontraron configuraciones básicas!,لم يتم العثور على الإعدادات الأساسية!,Paramètres de base introuvables !,बुनियादी सेटिंग्स नहीं मिलीं!
Basic settings updated successfully!,Basic settings updated successfully!,¡La configuración básica se actualizó correctamente!,تم تحديث الإعدادات الأساسية بنجاح!,Paramètres de base mis à jour avec succès !,बुनियादी सेटिंग्स सफलतापूर्वक अपडेट की गईं!
You have to configure your system mail first.,You have to configure your system mail first.,Primero debe configurar el correo de su sistema.,يجب عليك تكوين بريد النظام الخاص بك أولاً.,Vous devez d'abord configurer votre messagerie système.,आपको पहले अपना सिस्टम मेल कॉन्फ़िगर करना होगा.
Please setup KYC field first. Go to [Setup KYC] page from sidebar,Please setup KYC field first. Go to [Setup KYC] page from sidebar,Primero configure el campo KYC. Vaya a la página [Configurar KYC] desde la barra lateral,يرجى إعداد حقل KYC أولاً. انتقل إلى صفحة [Setup KYC] من الشريط الجانبي,Veuillez d'abord configurer le champ KYC. Accédez à la page [Configuration KYC] depuis la barre latérale,कृपया पहले केवाईसी फ़ील्ड सेटअप करें। साइडबार से [सेटअप केवाईसी] पेज पर जाएं
Basic settings Status Updated Successfully,Basic settings Status Updated Successfully,Configuración básica Estado actualizado con éxito,تم تحديث حالة الإعدادات الأساسية بنجاح,Paramètres de base Statut mis à jour avec succès,बुनियादी सेटिंग्स स्थिति सफलतापूर्वक अपडेट की गई
Basic setting not found! Please run database seeder,Basic setting not found! Please run database seeder,¡Configuración básica no encontrada! Ejecute el sembrador de base de datos.,لم يتم العثور على الإعداد الأساسي! الرجاء تشغيل بذارة قاعدة البيانات,Paramètre de base introuvable ! Veuillez exécuter le semoir de base de données,मूल सेटिंग नहीं मिली! कृपया डेटाबेस सीडर चलाएँ
No changes to update.,No changes to update.,No hay cambios para actualizar.,لا توجد تغييرات للتحديث.,Aucune modification à mettre à jour.,अद्यतन करने के लिए कोई परिवर्तन नहीं.
Image assets updated successfully!.,Image assets updated successfully!.,Recursos de imagen actualizados exitosamente.,تم تحديث أصول الصورة بنجاح!.,Les éléments d'image ont été mis à jour avec succès !.,छवि परिसंपत्तियाँ सफलतापूर्वक अपडेट की गईं!
SEO information updated successfully!,SEO information updated successfully!,¡Información SEO actualizada con éxito!,تم تحديث معلومات تحسين محركات البحث (SEO) بنجاح!,Informations SEO mises à jour avec succès !,एसईओ जानकारी सफलतापूर्वक अपडेट की गई!
options,options,opciones,خيارات,choix,विकल्प
Enable,Enable,Permitir,يُمكَِن,Activer,सक्षम
Disable,Disable,Desactivar,إبطال,Désactiver,अक्षम करना
label,label,etiqueta,ملصق,étiquette,लेबल
Language Code,Language Code,Código de idioma,رمز اللغة,Code de langue,भाषा कोड
Direction,Direction,Dirección,اتجاه,Direction,दिशा
LTR,LTR,LTR,لتر,LTR,एलटीआर
RTL,RTL,RTL,من اليمين إلى اليسار,RTL,आरटीएल
Language Name,Language Name,Nombre del idioma,اسم اللغة,Nom de la langue,भाषा का नाम
Code,Code,Código,شفرة,Code,कोड
Symbol,Symbol,Símbolo,رمز,Symbole,प्रतीक
Add Money Details,Add Money Details,Agregar detalles de dinero,أضف تفاصيل الأموال,Ajouter des détails sur l'argent,धन विवरण जोड़ें
No data found!,No data found!,¡No se encontraron datos!,لم يتم العثور على بيانات!,Aucune donnée trouvée !,डाटा प्राप्त नहीं हुआ!
Deactive,Deactive,Desactivado,غير نشط,Désactivé,अक्रिय
Disabled,Disabled,Desactivado,عاجز,Désactivé,अक्षम
Selectable,Selectable,Seleccionable,قابل للتحديد,Sélectionnable,चयन
Withdraw Money Details,Withdraw Money Details,Detalles de retiro de dinero,سحب تفاصيل الأموال,Détails du retrait d'argent,पैसे निकालने का विवरण
Explain Rejection Reason,Explain Rejection Reason,Explicar el motivo del rechazo,شرح سبب الرفض,Expliquer la raison du rejet,अस्वीकृति का कारण स्पष्ट करें
Gateway Environment,Gateway Environment,Entorno de puerta de enlace,بيئة البوابة,Environnement de passerelle,गेटवे पर्यावरण
Crypto Assets,Crypto Assets,Activos criptográficos,أصول التشفير,Actifs cryptographiques,क्रिप्टो संपत्तियां
Zip/Postal,Zip/Postal,Código postal/correo postal,الرمز البريدي/البريدي,Zip/Poste,ज़िप/डाक
Setup Section,Setup Section,Sección de configuración,قسم الإعداد,Section de configuration,सेटअप अनुभाग
Tags,Tags,Etiquetas,العلامات,Balises,टैग
Cancel,Cancel,Cancelar,يلغي,Annuler,रद्द करना
User Status,User Status,Estado de usuario,حالة المستخدم,Statut de l'utilisateur,उपयोगकर्ता स्थिति
Email Verification,Email Verification,Verificación de correo electrónico,التحقق من البريد الإلكتروني,Vérification par e-mail,ईमेल सत्यापन
Mode,Mode,Modo,وضع,Mode,तरीका
User Registration,User Registration,Registro de usuario,تسجيل المستخدم,Inscription des utilisateurs,उपयोगकर्ता पंजीकरण
Secure Password,Secure Password,Contraseña segura,كلمة مرور آمنة,Mot de passe sécurisé,सुरक्षित पासवर्ड
Agree Policy,Agree Policy,Política de acuerdo,الموافقة على السياسة,Accepter la politique,सहमत नीति
Activated,Activated,Activado,تفعيلها,Activé,सक्रिय
Deactivated,Deactivated,Desactivado,معطل,Désactivé,निष्क्रिय
Email Notification,Email Notification,Notificación por correo electrónico,إشعار البريد الإلكتروني,Notification par courrier électronique,ईमेल अधिसूचना
Card Limit Within (1 to 3),Card Limit Within (1 to 3),Límite de tarjeta dentro (1 a 3),الحد الأقصى للبطاقة خلال (1 إلى 3),Limite de carte dans (1 à 3),कार्ड सीमा के भीतर (1 से 3)
Force SSL,Force SSL,Forzar SSL,فرض SSL,Forcer SSL,एसएसएल को बाध्य करें
Password Reset Link sended to your email address.,Password Reset Link sended to your email address.,Enlace de restablecimiento de contraseña enviado a su dirección de correo electrónico.,تم إرسال رابط إعادة تعيين كلمة المرور إلى عنوان بريدك الإلكتروني.,Lien de réinitialisation du mot de passe envoyé à votre adresse e-mail.,पासवर्ड रीसेट लिंक आपके ईमेल पते पर भेज दिया गया है।
Successfully updated password. Please login,Successfully updated password. Please login,Contraseña actualizada correctamente. Por favor inicia sesión,تم تحديث كلمة المرور بنجاح. الرجاء تسجيل الدخول,Mot de passe mis à jour avec succès. Veuillez vous connecter,पासवर्ड सफलतापूर्वक अपडेट किया गया. कृपया लॉगिन करें
Add money details for,Add money details for,Agregar detalles de dinero para,إضافة تفاصيل المال ل,Ajouter des détails financiers pour,के लिए धन विवरण जोड़ें
Add Money request approved successfully,Add Money request approved successfully,Solicitud de Agregar dinero aprobada exitosamente,تمت الموافقة على طلب إضافة الأموال بنجاح,La demande d'ajout d'argent a été approuvée avec succès,धन जोड़ने का अनुरोध सफलतापूर्वक स्वीकृत हो गया
Opps! Failed to send mail. Please recheck your mail credentials or reconfigure mail,Opps! Failed to send mail. Please recheck your mail credentials or reconfigure mail,¡Ups! No se pudo enviar el correo. Vuelva a verificar sus credenciales de correo o reconfigure el correo.,انتبه! فشل في إرسال البريد. يرجى إعادة التحقق من بيانات اعتماد البريد الخاص بك أو إعادة تكوين البريد,Oups ! Échec de l'envoi du courrier. Veuillez revérifier vos identifiants de messagerie ou reconfigurer la messagerie,उफ़! मेल भेजने में विफल. कृपया अपने मेल क्रेडेंशियल दोबारा जांचें या मेल पुन: कॉन्फ़िगर करें
Admin Roles,Admin Roles,Funciones de administrador,أدوار المشرف,Rôles d'administrateur,व्यवस्थापक भूमिकाएँ
Opps! Target role not found!,Opps! Target role not found!,¡Ups! ¡Rol objetivo no encontrado!,انتبه! لم يتم العثور على الدور المستهدف!,Oups ! Rôle cible introuvable !,उफ़! लक्ष्य भूमिका नहीं मिली!
Admin role updated successfully!,Admin role updated successfully!,¡El rol de administrador se actualizó exitosamente!,تم تحديث دور المشرف بنجاح!,Rôle d'administrateur mis à jour avec succès !,व्यवस्थापक भूमिका सफलतापूर्वक अपडेट की गई!
Super admin role can,Super admin role can,El rol de superadministrador puede,يمكن دور المشرف المتميز,Le rôle de super-administrateur peut,सुपर एडमिन की भूमिका हो सकती है
Permission Group,Permission Group,Grupo de permisos,مجموعة الأذونات,Groupe d'autorisations,अनुमति समूह
Broadcast configuration updated successfully!,Broadcast configuration updated successfully!,¡La configuración de transmisión se actualizó exitosamente!,تم تحديث تكوين البث بنجاح!,Configuration de diffusion mise à jour avec succès !,प्रसारण कॉन्फ़िगरेशन सफलतापूर्वक अपडेट किया गया!
All Contact Message,All Contact Message,Todos los mensajes de contacto,جميع رسائل الاتصال,Tous les messages de contact,सभी संपर्क संदेश
Wallet generated successfully!,Wallet generated successfully!,¡Monedero generado exitosamente!,تم إنشاء المحفظة بنجاح!,Portefeuille généré avec succès !,वॉलेट सफलतापूर्वक जनरेट हुआ!
Balance Updated Successfully!,Balance Updated Successfully!,¡Saldo actualizado exitosamente!,تم تحديث الرصيد بنجاح!,Solde mis à jour avec succès !,बैलेंस सफलतापूर्वक अपडेट किया गया!
Wallet Added Successfully!,Wallet Added Successfully!,¡Billetera agregada exitosamente!,تمت إضافة المحفظة بنجاح!,Portefeuille ajouté avec succès !,वॉलेट सफलतापूर्वक जोड़ा गया!
Wallet Address Deleted Successfully!,Wallet Address Deleted Successfully!,¡Dirección de billetera eliminada exitosamente!,تم حذف عنوان المحفظة بنجاح!,Adresse du portefeuille supprimée avec succès !,वॉलेट पता सफलतापूर्वक हटा दिया गया!
Wallet Information not found!,Wallet Information not found!,¡No se encontró información de billetera!,لم يتم العثور على معلومات المحفظة!,Informations sur le portefeuille introuvables !,वॉलेट जानकारी नहीं मिली!
Wallet Status Changed Successfully!,Wallet Status Changed Successfully!,¡El estado de la billetera cambió exitosamente!,تم تغيير حالة المحفظة بنجاح!,Le statut du portefeuille a été modifié avec succès !,वॉलेट स्थिति सफलतापूर्वक बदल गई!
Crypto Asset Not Found!,Crypto Asset Not Found!,¡Criptoactivo no encontrado!,لم يتم العثور على الأصول المشفرة!,Actif cryptographique introuvable !,क्रिप्टो संपत्ति नहीं मिली!
Default currency make failed! Please try again.,Default currency make failed! Please try again.,¡Falló la creación de moneda predeterminada! Por favor inténtalo de nuevo.,العملة الافتراضية فشلت! يرجى المحاولة مرة أخرى.,Échec de la création de la devise par défaut ! Veuillez réessayer.,डिफ़ॉल्ट मुद्रा निर्माण विफल! कृपया पुन: प्रयास करें।
Currency Saved Successfully!,Currency Saved Successfully!,¡Moneda guardada con éxito!,تم حفظ العملة بنجاح!,Devise enregistrée avec succès !,मुद्रा सफलतापूर्वक सहेजी गई!
Currency record not found in our system.,Currency record not found in our system.,Registro de moneda no encontrado en nuestro sistema.,سجل العملة غير موجود في نظامنا.,Enregistrement de devise introuvable dans notre système.,हमारे सिस्टम में मुद्रा रिकॉर्ड नहीं मिला.
Currency status updated successfully!,Currency status updated successfully!,¡El estado de la moneda se actualizó exitosamente!,تم تحديث حالة العملة بنجاح!,Statut de la devise mis à jour avec succès !,मुद्रा स्थिति सफलतापूर्वक अपडेट की गई!
Currency not found!,Currency not found!,¡Moneda no encontrada!,لم يتم العثور على العملة!,Devise introuvable !,मुद्रा नहीं मिली!
Image file upload failed!,Image file upload failed!,¡Error al cargar el archivo de imagen!,فشل تحميل ملف الصورة!,Le téléchargement du fichier image a échoué !,छवि फ़ाइल अपलोड विफल!
Successfully updated the information.,Successfully updated the information.,Se actualizó exitosamente la información.,تم تحديث المعلومات بنجاح.,Les informations ont été mises à jour avec succès.,जानकारी सफलतापूर्वक अद्यतन की गई.
Currency deleted successfully!,Currency deleted successfully!,¡Moneda eliminada exitosamente!,تم حذف العملة بنجاح!,Devise supprimée avec succès !,मुद्रा सफलतापूर्वक हटा दी गई!
Extension has been updated successfully,Extension has been updated successfully,La extensión se ha actualizado correctamente.,تم تحديث الامتداد بنجاح,L'extension a été mise à jour avec succès,एक्सटेंशन सफलतापूर्वक अपडेट कर दिया गया है
Extension is not found!,Extension is not found!,¡No se encuentra la extensión!,لم يتم العثور على التمديد!,L'extension n'est pas trouvée !,एक्सटेंशन नहीं मिला!
Extension status is updated successfully!,Extension status is updated successfully!,¡El estado de la extensión se actualizó correctamente!,تم تحديث حالة الامتداد بنجاح!,Le statut de l'extension a été mis à jour avec succès !,एक्सटेंशन स्थिति सफलतापूर्वक अपडेट हो गई है!
Language created successfully!,Language created successfully!,¡Idioma creado exitosamente!,تم إنشاء اللغة بنجاح!,Langue créée avec succès !,भाषा सफलतापूर्वक बनाई गई!
Language updated successfully!,Language updated successfully!,¡Idioma actualizado exitosamente!,تم تحديث اللغة بنجاح!,Langue mise à jour avec succès !,भाषा सफलतापूर्वक अपडेट की गई!
File remove failed!,File remove failed!,¡Error al eliminar el archivo!,فشل إزالة الملف!,La suppression du fichier a échoué !,फ़ाइल हटाना विफल!
Language deleted successfully!,Language deleted successfully!,¡Idioma eliminado exitosamente!,تم حذف اللغة بنجاح!,Langue supprimée avec succès !,भाषा सफलतापूर्वक हटा दी गई!
Please deselect your default language first.,Please deselect your default language first.,Primero deseleccione su idioma predeterminado.,الرجاء إلغاء تحديد لغتك الافتراضية أولاً.,Veuillez d'abord désélectionner votre langue par défaut.,कृपया पहले अपनी डिफ़ॉल्ट भाषा का चयन रद्द करें।
Language status updated successfully!,Language status updated successfully!,¡El estado del idioma se actualizó exitosamente!,تم تحديث حالة اللغة بنجاح!,Statut de langue mis à jour avec succès !,भाषा स्थिति सफलतापूर्वक अपडेट की गई!
Sorry! Language not found!,Sorry! Language not found!,¡Lo siento! ¡Idioma no encontrado!,آسف! لم يتم العثور على اللغة!,Désolé! Langue introuvable !,क्षमा मांगना! भाषा नहीं मिली!
Failed to store new file.,Failed to store new file.,No se pudo almacenar el nuevo archivo.,فشل في تخزين الملف الجديد.,Échec du stockage du nouveau fichier.,नई फ़ाइल संग्रहीत करने में विफल.
Oops! Language not found!,Oops! Language not found!,¡Ups! ¡Idioma no encontrado!,أُووبس! لم يتم العثور على اللغة!,Oups ! Langue introuvable !,उफ़! भाषा नहीं मिली!
Language switch successfully!,Language switch successfully!,¡Cambio de idioma exitoso!,تبديل اللغة بنجاح!,Changement de langue réussi !,भाषा परिवर्तन सफलतापूर्वक!
File does not exists.,File does not exists.,El archivo no existe.,الملف غير موجود.,Le fichier n'existe pas.,फ़ाइल मौजूद नहीं है.
Withdraw money details for,Withdraw money details for,Detalles de retiro de dinero para,سحب تفاصيل الأموال ل,Retirer les détails de l'argent pour,के लिए पैसे निकालने का विवरण
Automatic Add Money,Automatic Add Money,Agregar dinero automáticamente,إضافة الأموال تلقائيًا,Ajouter de l'argent automatiquement,स्वचालित धन जोड़ें
Manual Add Money,Manual Add Money,Agregar dinero manualmente,دليل إضافة المال,Ajouter de l'argent manuellement,मैनुअल पैसे जोड़ें
Automatic Add Money Edit,Automatic Add Money Edit,Agregar dinero automáticamente Editar,تحرير إضافة الأموال تلقائيًا,Ajouter de l'argent automatiquement,स्वचालित धन जोड़ें संपादन
Manual Add Money Edit,Manual Add Money Edit,Agregar dinero manualmente Editar,تحرير إضافة الأموال يدويًا,Ajouter de l'argent manuellement Modifier,मैन्युअल रूप से धन जोड़ें संपादन
Money Out Edit,Money Out Edit,Salida de dinero Editar,تحرير الأموال,Argent sortant Modifier,मनी आउट संपादित करें
Selected payment gateway is invalid!,Selected payment gateway is invalid!,¡La pasarela de pago seleccionada no es válida!,بوابة الدفع المحددة غير صالحة!,La passerelle de paiement sélectionnée n'est pas valide !,चयनित भुगतान गेटवे अमान्य है!
Password Change,Password Change,Cambio de contraseña,تغيير كلمة المرور,Changement de mot de passe,पासवर्ड बदलें
Password updated successfully!,Password updated successfully!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة المرور بنجاح!,Mot de passe mis à jour avec succès !,पासवर्ड सफलतापूर्वक अद्यतन!
Oops! Basic settings not found!,Oops! Basic settings not found!,¡Ups! ¡No se encontraron configuraciones básicas!,أُووبس! لم يتم العثور على الإعدادات الأساسية!,Oups ! Paramètres de base introuvables !,उफ़! बुनियादी सेटिंग्स नहीं मिलीं!
Sorry! You have to configure first to send push notification.,Sorry! You have to configure first to send push notification.,¡Lo siento! Primero debe configurar para enviar notificaciones automáticas.,آسف! يجب عليك التهيئة أولاً لإرسال إشعار الدفع.,Désolé! Vous devez d'abord configurer pour envoyer une notification push.,क्षमा मांगना! पुश नोटिफिकेशन भेजने के लिए आपको पहले कॉन्फ़िगर करना होगा।
Please configure your push notification with valid credentials.,Please configure your push notification with valid credentials.,Configure su notificación push con credenciales válidas.,يرجى تكوين إشعار الدفع الخاص بك ببيانات اعتماد صالحة.,Veuillez configurer votre notification push avec des informations d'identification valides.,कृपया अपने पुश नोटिफिकेशन को वैध क्रेडेंशियल्स के साथ कॉन्फ़िगर करें।
